parent,daughter,loss,count,erythroxylum_plowmanianum,gentiana_pubigera,persicaria_orientalis,oxyspora_paniculata,caesalpinia_enneaphylla,erythroxylum_coca,stranvaesia_davidiana,blank,cocaine
54.96,52.72,2.24,2,,,,,,,2,,
55.06,53.04,2.02,3,1,,,,1,1,,,
56.39,55.06,1.33,2,,,,2,,,,,
56.8,55.64,1.16,2,,,,,,,2,,
56.97,55.06,1.91,3,,2,1,,,,,,
57.03,55.02,2.01,33,6,12,1,8,1,5,,,
57.03,55.05,1.98,24,7,,1,5,,11,,,
57.03,55.06,1.97,107,9,39,12,35,3,9,,,
57.07,54.08,2.99,2,2,,,,,,,,
57.07,55.02,2.05,29,1,8,1,13,1,5,,,
57.07,55.05,2.02,22,1,,3,2,,16,,,
57.07,55.06,2.01,246,48,88,11,65,7,25,,2,
57.07,55.94,1.13,2,,,1,,1,,,,
57.07,56.05,1.02,3,1,1,,1,,,,,
58.07,55.06,3.01,2,,2,,,,,,,
58.07,57.07,1,12,1,3,2,2,2,,,2,
59.01,52.72,6.29,2,,,,,,,2,,
59.01,54.96,4.05,2,,,,,,,2,,
59.05,55.05,4,2,,,,,,2,,,
59.05,55.06,3.99,6,3,1,1,,,1,,,
59.05,57.03,2.02,2,1,1,,,,,,,
59.05,57.07,1.98,8,5,,1,,,2,,,
59.34,55.64,3.7,2,,,,,,,2,,
59.34,56.8,2.54,2,,,,,,,2,,
59.99,55.06,4.93,3,,,1,,,,,2,
59.99,57.07,2.92,3,,,1,,,,,2,
60.05,55.02,5.03,2,,,,2,,,,,
60.05,55.06,4.99,21,2,8,,9,1,1,,,
60.05,56.05,4,4,2,1,,1,,,,,
60.05,57.07,2.98,19,3,5,,8,2,1,,,
60.08,58.07,2.01,3,3,,,,,,,,
60.18,55.06,5.12,2,,,,2,,,,,
61.01,55.94,5.07,2,,,,,2,,,,
61.03,55.02,6.01,6,4,,,,,2,,,
61.03,57.03,4,23,15,,,,,8,,,
61.03,57.07,3.96,10,5,,,,,5,,,
62.02,55.06,6.96,2,,,1,,1,,,,
62.02,55.94,6.08,2,,,,,2,,,,
62.02,61.01,1.01,2,,,,,2,,,,
62.06,57.07,4.99,5,2,,,,,3,,,
62.39,55.64,6.75,2,,,,,,,2,,
62.39,56.8,5.59,2,,,,,,,2,,
62.39,59.34,3.05,2,,,,,,,2,,
63.02,52.31,10.71,2,2,,,,,,,,
63.04,57.07,5.97,2,,,,,,2,,,
65.65,55.64,10.01,2,,,,,,,2,,
65.65,56.8,8.85,2,,,,,,,2,,
65.65,59.34,6.31,2,,,,,,,2,,
65.65,62.39,3.26,2,,,,,,,2,,
66.31,52.72,13.59,2,,,,,,,2,,
66.31,54.96,11.35,2,,,,,,,2,,
66.31,59.01,7.3,2,,,,,,,2,,
66.89,55.64,11.25,2,,,,,,,2,,
66.89,56.8,10.09,2,,,,,,,2,,
66.89,59.34,7.55,2,,,,,,,2,,
66.89,62.39,4.5,2,,,,,,,2,,
66.89,65.65,1.24,2,,,,,,,2,,
67.05,55.02,12.03,17,3,2,1,1,1,9,,,
67.05,55.05,12,60,12,,2,5,,41,,,
67.05,55.06,11.99,22,3,5,2,6,,6,,,
67.05,55.93,11.12,3,,,,,,3,,,
67.05,57.03,10.02,41,9,4,1,7,,20,,,
67.05,57.07,9.98,47,3,2,4,14,,24,,,
67.05,59.05,8,4,2,,,,,2,,,
67.05,61.03,6.02,9,1,,,,,8,,,
67.05,62.06,4.99,5,,,,,,5,,,
67.06,53.04,14.02,3,1,,,,1,1,,,
67.06,53.7,13.36,2,1,1,,,,,,,
67.06,55.02,12.04,42,1,18,1,18,4,,,,
67.06,55.05,12.01,4,1,,2,1,,,,,
67.06,55.06,12,356,59,135,24,85,19,34,,,
67.06,55.94,11.12,2,1,,,,1,,,,
67.06,56.05,11.01,3,1,1,,1,,,,,
67.06,56.97,10.09,2,,1,,1,,,,,
67.06,57.03,10.03,133,23,37,15,38,4,16,,,
67.06,57.07,9.99,267,61,90,12,74,9,21,,,
67.06,58.07,8.99,2,,2,,,,,,,
67.06,59.05,8.01,3,1,1,,,,1,,,
67.06,60.05,7.01,29,5,9,,10,3,2,,,
67.06,61.03,6.03,8,8,,,,,,,,
67.25,55.64,11.61,2,,,,,,,2,,
67.25,56.8,10.45,2,,,,,,,2,,
67.25,59.34,7.91,2,,,,,,,2,,
67.25,62.39,4.86,2,,,,,,,2,,
67.25,65.65,1.6,2,,,,,,,2,,
68.88,63.45,5.43,3,,,,,,,3,,
68.88,63.6,5.28,3,,,,,,,3,,
69,55.02,13.98,2,,,2,,,,,,
69.03,55.02,14.01,30,6,7,,6,1,10,,,
69.03,55.05,13.98,11,2,,,,,9,,,
69.03,55.06,13.97,47,6,21,,12,2,6,,,
69.03,56.97,12.06,2,,2,,,,,,,
69.03,57.03,12,69,22,16,,10,2,18,1,,
69.03,57.07,11.96,33,6,5,,10,,12,,,
69.03,59.01,10.02,2,,,,,,,2,,
69.03,59.05,9.98,5,3,1,,,,1,,,
69.03,61.03,8,28,16,1,,,,11,,,
69.03,63.04,5.99,2,,,,,,2,,,
69.03,67.05,1.98,28,6,2,,1,,19,,,
69.03,67.06,1.97,52,7,19,,16,3,7,,,
69.07,53.04,16.03,4,1,,,,1,2,,,
69.07,54.08,14.99,2,2,,,,,,,,
69.07,55.02,14.05,57,6,20,1,19,5,6,,,
69.07,55.05,14.02,63,13,,4,5,,41,,,
69.07,55.06,14.01,395,65,153,24,92,21,40,,,
69.07,55.93,13.14,4,,,,,,4,,,
69.07,55.94,13.13,4,1,,1,,2,,,,
69.07,56.05,13.02,3,1,1,,1,,,,,
69.07,56.61,12.46,2,,,,2,,,,,
69.07,56.97,12.1,6,,3,1,1,1,,,,
69.07,57.03,12.04,162,31,38,15,43,4,31,,,
69.07,57.07,12,381,82,110,17,100,14,58,,,
69.07,58.07,11,3,1,2,,,,,,,
69.07,58.27,10.8,2,,,,2,,,,,
69.07,59.05,10.02,8,3,1,1,,,3,,,
69.07,60.05,9.02,28,5,8,,10,2,3,,,
69.07,60.43,8.64,2,1,1,,,,,,,
69.07,61.01,8.06,2,,,,,2,,,,
69.07,61.03,8.04,15,8,,,,,7,,,
69.07,61.63,7.44,2,,,,2,,,,,
69.07,62.02,7.05,2,,,,,2,,,,
69.07,62.06,7.01,8,,,,,,8,,,
69.07,62.76,6.31,2,2,,,,,,,,
69.07,63.17,5.9,2,2,,,,,,,,
69.07,66.35,2.72,2,2,,,,,,,,
69.07,66.43,2.64,2,2,,,,,,,,
69.07,67.05,2.02,146,27,8,5,20,3,83,,,
69.07,67.06,2.01,519,112,166,30,121,30,60,,,
69.07,68.05,1.02,2,,1,,,,1,,,
70.07,57.03,13.04,2,1,,,,,1,,,
70.07,57.07,13,2,,,1,,1,,,,
70.07,67.05,3.02,2,,,,,,2,,,
70.07,69.03,1.04,2,,,,,,2,,,
70.07,69.07,1,2,,,,,,2,,,
70.55,63.45,7.1,3,,,,,,,3,,
70.55,63.6,6.95,3,,,,,,,3,,
70.55,68.88,1.67,3,,,,,,,3,,
70.7,69.07,1.63,2,,,,1,,1,,,
70.73,55.06,15.67,2,,2,,,,,,,
70.73,57.07,13.66,2,,2,,,,,,,
70.73,67.06,3.67,3,,3,,,,,,,
70.73,69.07,1.66,2,,2,,,,,,,
71.01,55.02,15.99,6,,3,,3,,,,,
71.01,55.06,15.95,8,,5,,3,,,,,
71.01,57.03,13.98,10,,6,,3,,,1,,
71.01,57.07,13.94,5,,2,,3,,,,,
71.01,59.01,12,33,,,,,,,33,,
71.01,59.98,11.03,2,,,,,,,2,,
71.01,67.06,3.95,8,,6,,2,,,,,
71.01,69.03,1.98,8,,5,,2,,,1,,
71.01,69.07,1.94,8,,5,,3,,,,,
71.05,55.02,16.03,29,2,9,,5,3,10,,,
71.05,55.05,16,23,5,,,3,,15,,,
71.05,55.06,15.99,59,14,24,1,11,4,5,,,
71.05,55.94,15.11,2,,,,,2,,,,
71.05,56.55,14.5,2,,,1,,,1,,,
71.05,57.03,14.02,54,9,21,,11,2,11,,,
71.05,57.07,13.98,43,10,10,,9,2,12,,,
71.05,59.05,12,5,3,1,,,,1,,,
71.05,61.01,10.04,2,,,,,2,,,,
71.05,61.03,10.02,4,2,,,,,2,,,
71.05,62.02,9.03,2,,,,,2,,,,
71.05,67.05,4,43,9,2,,4,1,27,,,
71.05,67.06,3.99,61,12,24,1,11,8,5,,,
71.05,69.03,2.02,54,9,13,,8,3,21,,,
71.05,69.07,1.98,93,22,24,,14,7,26,,,
71.09,53.04,18.05,2,,,,,1,1,,,
71.09,55.02,16.07,26,,4,,17,1,4,,,
71.09,55.05,16.04,16,3,,3,4,,6,,,
71.09,55.06,16.03,203,31,69,7,76,7,13,,,
71.09,56.05,15.04,2,1,,,1,,,,,
71.09,57.03,14.06,75,20,6,7,38,,4,,,
71.09,57.07,14.02,405,79,85,30,114,20,69,,8,
71.09,58.07,13.02,12,1,3,2,2,2,,,2,
71.09,60.05,11.04,21,4,6,,9,1,1,,,
71.09,61.03,10.06,12,8,,,,,4,,,
71.09,62.06,9.03,5,2,,,,,3,,,
71.09,66.43,4.66,2,2,,,,,,,,
71.09,67.05,4.04,44,6,,3,16,,19,,,
71.09,67.06,4.03,287,83,75,10,100,7,12,,,
71.09,69.03,2.06,26,4,4,,14,1,3,,,
71.09,69.07,2.02,373,90,86,14,125,11,47,,,
71.93,62.02,9.91,2,,1,,,1,,,,
72.08,52.31,19.77,2,2,,,,,,,,
72.08,55.05,17.03,4,4,,,,,,,,
72.08,55.06,17.02,2,1,,,,,,,1,
72.08,57.03,15.05,2,2,,,,,,,,
72.08,58.07,14.01,2,1,,,,,1,,,
72.08,63.02,9.06,2,2,,,,,,,,
72.94,55.94,17,2,,,,,2,,,,
72.94,61.01,11.93,2,,,,,2,,,,
72.94,62.02,10.92,3,,1,,,2,,,,
72.94,69.07,3.87,2,,,,,2,,,,
72.94,71.05,1.89,2,,,,,2,,,,
