,parent,daughter,loss,count
0,56.67,55.06,1.6099999999999994,1
1,56.67,55.07,1.6000000000000014,1
2,56.96,55.93,1.0300000000000011,1
3,57.03,55.05,1.980000000000004,1
4,57.03,55.06,1.9699999999999989,1
5,57.07,55.06,2.009999999999998,8
6,57.07,55.07,2.0,1
7,58.17,52.61,5.560000000000002,1
8,59.05,55.06,3.989999999999995,1
9,59.05,55.07,3.979999999999997,1
10,59.05,56.67,2.3799999999999955,1
11,59.05,57.07,1.9799999999999969,1
12,60.08,57.03,3.049999999999997,1
13,61.03,57.03,4.0,2
14,61.03,57.07,3.960000000000001,2
15,62.06,57.07,4.990000000000002,2
16,63.04,57.07,5.969999999999999,2
17,67.05,55.02,12.029999999999994,2
18,67.05,55.05,12.0,12
19,67.05,55.06,11.989999999999995,1
20,67.05,55.93,11.119999999999997,2
21,67.05,56.96,10.089999999999996,1
22,67.05,57.03,10.019999999999996,5
23,67.05,57.07,9.979999999999997,1
24,67.05,61.03,6.019999999999996,4
25,67.05,62.06,4.989999999999995,4
26,67.06,55.06,12.0,19
27,67.06,55.07,11.990000000000002,1
28,67.06,56.67,10.39,1
29,67.06,57.03,10.030000000000001,4
30,67.06,57.07,9.990000000000002,4
31,67.06,59.05,8.010000000000005,1
32,67.06,60.05,7.010000000000005,2
33,67.2,55.06,12.14,1
34,68.27,55.06,13.209999999999994,1
35,68.27,67.06,1.2099999999999937,1
36,68.27,67.2,1.0699999999999932,1
37,68.79,52.61,16.180000000000007,1
38,68.79,58.17,10.620000000000005,1
39,69.03,55.02,14.009999999999998,2
40,69.03,55.05,13.980000000000004,3
41,69.03,57.03,12.0,6
42,69.03,57.07,11.96,6
43,69.03,61.03,8.0,2
44,69.03,63.04,5.990000000000002,2
45,69.03,67.05,1.980000000000004,7
46,69.03,67.06,1.9699999999999989,2
47,69.07,55.02,14.04999999999999,2
48,69.07,55.05,14.019999999999996,12
49,69.07,55.06,14.009999999999991,21
50,69.07,55.07,13.999999999999993,1
51,69.07,55.93,13.139999999999993,2
52,69.07,56.67,12.399999999999991,1
53,69.07,56.96,12.109999999999992,1
54,69.07,57.03,12.039999999999992,6
55,69.07,57.07,11.999999999999993,15
56,69.07,59.05,10.019999999999996,1
57,69.07,60.05,9.019999999999996,2
58,69.07,61.03,8.039999999999992,2
59,69.07,62.06,7.009999999999991,2
60,69.07,67.05,2.019999999999996,45
61,69.07,67.06,2.009999999999991,45
62,69.07,68.05,1.019999999999996,1
63,70.07,57.03,13.039999999999992,1
64,70.07,61.03,9.039999999999992,1
65,70.07,69.03,1.039999999999992,1
66,70.29,55.06,15.230000000000004,1
67,70.29,67.06,3.230000000000004,1
68,70.29,67.2,3.0900000000000034,1
69,70.29,68.27,2.0200000000000102,1
70,70.51,55.06,15.450000000000003,1
71,70.51,67.06,3.450000000000003,1
72,70.51,67.2,3.3100000000000023,1
73,70.51,68.27,2.240000000000009,1
74,71.05,55.02,16.029999999999994,2
75,71.05,55.05,16.0,2
76,71.05,55.06,15.989999999999995,1
77,71.05,57.07,13.979999999999997,1
78,71.05,67.05,4.0,5
79,71.05,67.06,3.989999999999995,1
80,71.05,69.03,2.019999999999996,2
81,71.05,69.07,1.980000000000004,7
82,71.09,55.06,16.03,7
83,71.09,57.07,14.020000000000003,52
84,71.09,61.03,10.060000000000002,3
85,71.09,62.06,9.030000000000001,1
86,71.09,67.05,4.040000000000006,3
87,71.09,67.06,4.030000000000001,7
88,71.09,69.03,2.0600000000000023,3
89,71.09,69.07,2.0200000000000102,16
90,72.08,58.07,14.009999999999998,1
91,73.03,55.02,18.009999999999998,2
92,73.03,55.05,17.980000000000004,2
93,73.03,57.03,16.0,6
94,73.03,57.07,15.96,1
95,73.03,61.03,12.0,3
96,73.03,63.04,9.990000000000002,1
97,73.03,67.05,5.980000000000004,3
98,73.03,69.03,4.0,10
99,73.03,69.07,3.960000000000008,3
100,73.03,70.07,2.960000000000008,1
101,73.03,71.05,1.980000000000004,2
102,73.03,71.09,1.9399999999999977,5
103,73.07,57.07,15.999999999999993,3
104,73.07,71.09,1.9799999999999898,9
105,74.32,55.06,19.25999999999999,1
106,74.32,67.06,7.259999999999991,1
107,74.32,67.2,7.11999999999999,1
108,74.32,68.27,6.049999999999997,1
109,74.32,70.29,4.029999999999987,1
110,74.32,70.51,3.809999999999988,1
111,79.05,55.02,24.029999999999994,2
112,79.05,55.05,24.0,12
113,79.05,55.06,23.989999999999995,7
114,79.05,55.07,23.979999999999997,1
115,79.05,55.93,23.119999999999997,2
116,79.05,56.67,22.379999999999995,1
117,79.05,56.96,22.089999999999996,1
118,79.05,57.03,22.019999999999996,4
119,79.05,57.07,21.979999999999997,2
120,79.05,59.05,20.0,1
121,79.05,61.03,18.019999999999996,2
122,79.05,62.06,16.989999999999995,1
123,79.05,64.31,14.739999999999995,1
124,79.05,67.05,12.0,49
125,79.05,67.06,11.989999999999995,17
126,79.05,69.03,10.019999999999996,6
127,79.05,69.07,9.980000000000004,50
128,79.05,71.05,8.0,5
