,parent,daughter,count
0,69.1,67.1,1
1,71.1,57.1,1
2,79.1,67.1,1
3,79.1,69.1,1
4,81.1,67.1,1
5,81.1,69.1,1
6,81.1,79.1,1
7,83.0,57.1,1
8,83.0,71.1,1
9,91.1,82.1,1
10,93.1,67.1,1
11,93.1,69.1,1
12,93.1,79.1,1
13,93.1,81.1,1
14,95.1,67.1,1
15,95.1,69.1,1
16,95.1,79.1,1
17,95.1,81.1,1
18,95.1,93.1,1
19,101.1,57.1,1
20,101.1,71.1,1
21,101.1,83.0,1
22,103.1,82.1,1
23,104.1,86.1,1
24,105.1,67.1,1
25,105.1,69.1,1
26,105.1,79.1,1
27,105.1,81.1,1
28,105.1,93.1,1
29,105.1,95.1,1
30,107.1,67.1,1
31,107.1,69.1,1
32,107.1,79.1,1
33,107.1,81.1,1
34,107.1,93.1,1
35,107.1,95.1,1
36,107.1,105.1,1
37,109.1,67.1,1
38,109.1,69.1,1
39,109.1,79.1,1
40,109.1,81.1,1
41,109.1,93.1,1
42,109.1,95.1,1
43,109.1,105.1,1
44,109.1,107.1,1
45,111.0,57.1,1
46,111.0,71.1,1
47,111.0,83.0,1
48,111.0,101.1,1
49,119.1,67.1,1
50,119.1,69.1,1
51,119.1,79.1,1
52,119.1,81.1,1
53,119.1,82.1,1
54,119.1,91.1,1
55,119.1,93.1,1
56,119.1,95.1,1
57,119.1,105.1,1
58,119.1,107.1,1
59,119.1,109.1,1
60,121.1,67.1,1
61,121.1,69.1,1
62,121.1,79.1,1
63,121.1,81.1,1
64,121.1,93.1,1
65,121.1,95.1,1
66,121.1,105.1,1
67,121.1,107.1,1
68,121.1,109.1,1
69,121.1,119.1,1
70,125.0,86.1,1
71,125.0,104.1,1
72,129.1,57.1,1
73,129.1,71.1,1
74,129.1,83.0,1
75,129.1,101.1,1
76,129.1,111.0,1
77,131.0,82.1,2
78,131.0,103.1,1
79,133.1,67.1,1
80,133.1,69.1,1
81,133.1,79.1,1
82,133.1,81.1,1
83,133.1,93.1,1
84,133.1,95.1,1
85,133.1,105.1,1
86,133.1,107.1,1
87,133.1,109.1,1
88,133.1,119.1,1
89,133.1,121.1,1
90,135.1,67.1,1
91,135.1,69.1,1
92,135.1,79.1,1
93,135.1,81.1,1
94,135.1,93.1,1
95,135.1,95.1,1
96,135.1,105.1,1
97,135.1,107.1,1
98,135.1,109.1,1
99,135.1,119.1,1
100,135.1,121.1,1
101,135.1,133.1,1
102,147.1,57.1,1
103,147.1,71.1,1
104,147.1,83.0,1
105,147.1,101.1,1
106,147.1,111.0,1
107,147.1,129.1,1
108,182.1,82.1,3
109,182.1,91.1,1
110,182.1,103.1,1
111,182.1,119.1,1
112,182.1,131.0,2
113,184.1,86.1,1
114,184.1,104.1,1
115,184.1,125.0,1
116,190.1,182.1,1
117,193.1,182.1,1
118,193.1,190.1,1
119,200.1,82.1,1
120,200.1,103.1,1
121,200.1,131.0,1
122,200.1,182.1,1
123,221.1,182.1,1
124,221.1,190.1,1
125,221.1,193.1,1
126,261.2,67.1,1
127,261.2,69.1,1
128,261.2,79.1,1
129,261.2,81.1,1
130,261.2,93.1,1
131,261.2,95.1,1
132,261.2,105.1,1
133,261.2,107.1,1
134,261.2,109.1,1
135,261.2,119.1,1
136,261.2,121.1,1
137,261.2,133.1,1
138,261.2,135.1,1
139,330.2,82.1,2
140,330.2,103.1,1
141,330.2,131.0,2
142,330.2,182.1,2
143,330.2,200.1,1
144,330.7,82.1,1
145,330.7,131.0,1
146,330.7,182.1,1
147,330.7,330.2,1
148,335.3,67.1,1
149,335.3,69.1,1
150,335.3,79.1,1
151,335.3,81.1,1
152,335.3,93.1,1
153,335.3,95.1,1
154,335.3,105.1,1
155,335.3,107.1,1
156,335.3,109.1,1
