,parent,daughter,count
0,55.1,55.0,2
1,55.1,55.1,1
2,55.9,55.1,2
3,56.7,55.1,2
4,57.0,55.1,2
5,57.0,55.9,1
6,57.1,55.1,9
7,57.1,56.7,1
8,58.2,52.6,1
9,59.0,55.1,2
10,59.0,56.7,1
11,59.0,57.1,1
12,60.1,57.0,1
13,61.0,57.0,2
14,61.0,57.1,2
15,62.1,57.1,2
16,63.0,57.1,2
17,67.1,55.0,2
18,67.1,55.1,33
19,67.1,55.9,2
20,67.1,56.7,1
21,67.1,57.0,10
22,67.1,57.1,5
23,67.1,59.0,1
24,67.1,60.0,2
25,67.1,61.0,4
26,67.1,62.1,4
27,67.2,55.1,1
28,67.2,67.1,1
29,68.3,55.1,1
30,68.3,67.1,1
31,68.3,67.2,1
32,68.8,52.6,1
33,68.8,58.2,1
34,69.0,55.0,2
35,69.0,55.1,3
36,69.0,57.0,6
37,69.0,57.1,6
38,69.0,61.0,2
39,69.0,63.0,2
40,69.0,67.1,9
41,69.1,55.0,2
42,69.1,55.1,34
43,69.1,55.9,2
44,69.1,56.7,1
45,69.1,57.0,7
46,69.1,57.1,15
47,69.1,59.0,1
48,69.1,60.0,2
49,69.1,61.0,2
50,69.1,62.1,2
51,69.1,67.1,90
52,69.1,68.0,1
53,69.1,69.0,9
54,70.1,57.0,1
55,70.1,61.0,1
56,70.1,69.0,1
57,70.3,55.1,1
58,70.3,67.1,1
59,70.3,67.2,1
60,70.3,68.3,1
61,70.5,55.1,1
62,70.5,67.1,1
63,70.5,67.2,1
64,70.5,68.3,1
65,70.5,70.3,1
66,71.0,55.0,2
67,71.0,55.1,3
68,71.0,57.1,1
69,71.0,67.1,6
70,71.0,69.0,2
71,71.0,69.1,7
72,71.1,55.1,7
73,71.1,57.1,52
74,71.1,61.0,3
75,71.1,62.1,1
76,71.1,67.1,10
77,71.1,69.0,3
78,71.1,69.1,16
79,71.1,71.0,1
80,72.1,58.1,1
81,73.0,55.0,2
82,73.0,55.1,2
83,73.0,57.0,6
84,73.0,57.1,1
85,73.0,61.0,3
86,73.0,63.0,1
87,73.0,67.1,3
88,73.0,69.0,10
89,73.0,69.1,3
90,73.0,70.1,1
91,73.0,71.0,2
92,73.0,71.1,5
93,73.1,57.1,3
94,73.1,71.1,9
95,74.3,55.1,1
96,74.3,67.1,1
97,74.3,67.2,1
98,74.3,68.3,1
99,74.3,70.3,1
100,74.3,70.5,1
101,79.1,55.0,2
102,79.1,55.1,29
103,79.1,55.9,2
104,79.1,56.7,1
105,79.1,57.0,9
106,79.1,57.1,4
107,79.1,59.0,1
108,79.1,61.0,2
109,79.1,62.1,1
110,79.1,64.3,1
111,79.1,67.1,86
112,79.1,69.0,7
113,79.1,69.1,70
114,79.1,71.0,5
115,79.1,71.1,6
116,79.1,73.0,2
117,79.6,66.6,1
118,80.1,55.9,1
119,80.1,57.0,1
120,80.1,67.1,1
121,80.1,69.1,1
122,80.1,71.1,2
123,80.1,73.0,2
124,80.1,79.1,1
125,81.0,55.0,2
126,81.0,55.1,3
127,81.0,57.0,1
128,81.0,57.1,3
129,81.0,67.1,10
130,81.0,69.0,12
131,81.0,69.1,9
132,81.0,71.0,2
133,81.0,71.1,3
134,81.0,73.0,2
135,81.0,79.1,8
