,parent,daughter,count
52,55.02,53.04,16
75,55.05,53.04,23
107,55.06,53.04,10
228,57.03,53.04,24
246,57.03,55.02,35
247,57.03,55.05,62
248,57.03,55.06,19
299,57.07,53.04,27
334,57.07,55.02,24
335,57.07,55.05,74
336,57.07,55.06,84
399,58.07,57.07,9
464,59.05,55.05,13
465,59.05,55.06,11
474,59.05,57.03,11
475,59.05,57.07,28
566,60.08,55.05,8
570,60.08,57.07,20
635,61.03,55.02,11
636,61.03,55.05,12
642,61.03,57.03,42
644,61.03,57.07,19
742,62.06,55.05,10
745,62.06,57.07,9
990,65.04,57.07,10
1185,67.05,53.04,30
1211,67.05,55.02,38
1212,67.05,55.05,125
1213,67.05,55.06,15
1239,67.05,57.03,86
1240,67.05,57.07,102
1262,67.05,59.05,16
1270,67.05,60.08,11
1278,67.05,61.03,28
1289,67.05,62.06,11
1323,67.05,65.04,9
1354,67.06,53.04,9
1372,67.06,55.02,8
1374,67.06,55.06,64
1386,67.06,57.03,24
1387,67.06,57.07,72
1411,67.06,61.03,13
1507,68.05,67.05,10
1623,69.03,53.04,27
1642,69.03,55.02,35
1643,69.03,55.05,50
1644,69.03,55.06,15
1663,69.03,57.03,73
1665,69.03,57.07,49
1678,69.03,59.05,17
1690,69.03,61.03,47
1737,69.03,67.05,82
1738,69.03,67.06,26
1784,69.07,53.04,36
1815,69.07,55.02,36
1816,69.07,55.05,115
1817,69.07,55.06,76
1852,69.07,57.03,93
1853,69.07,57.07,182
1885,69.07,59.05,24
1900,69.07,60.08,18
1907,69.07,61.03,32
1925,69.07,62.06,10
1969,69.07,65.04,12
1998,69.07,67.05,191
1999,69.07,67.06,94
2009,69.07,68.05,8
2253,71.01,57.03,10
2258,71.01,61.03,8
2264,71.01,69.03,10
2280,71.05,53.04,27
2297,71.05,55.02,37
2298,71.05,55.05,69
2299,71.05,55.06,23
2316,71.05,57.03,73
2317,71.05,57.07,64
2332,71.05,59.05,15
2340,71.05,61.03,25
2394,71.05,67.05,103
2395,71.05,67.06,32
2408,71.05,69.03,81
2409,71.05,69.07,106
2421,71.07,57.07,12
2428,71.07,60.08,33
2433,71.07,69.07,11
2443,71.08,57.07,15
2452,71.08,69.07,9
2479,71.09,53.04,12
2499,71.09,55.02,14
2500,71.09,55.05,32
2501,71.09,55.06,53
2522,71.09,57.03,42
2523,71.09,57.07,167
2537,71.09,58.07,10
2544,71.09,59.05,11
2554,71.09,60.08,15
2556,71.09,61.03,15
2613,71.09,67.05,66
2614,71.09,67.06,58
2629,71.09,69.03,31
2630,71.09,69.07,146
2841,72.08,58.07,9
2991,73.03,53.04,13
2999,73.03,55.02,23
3000,73.03,55.05,26
3008,73.03,57.03,51
3010,73.03,57.07,31
3020,73.03,61.03,57
3042,73.03,67.05,53
3043,73.03,67.06,16
3049,73.03,69.03,71
3050,73.03,69.07,71
3056,73.03,71.01,8
3057,73.03,71.05,41
3059,73.03,71.09,46
3079,73.06,57.07,9
3096,73.06,71.09,11
3109,73.07,55.06,13
3111,73.07,57.07,23
3125,73.07,67.06,8
3129,73.07,69.07,26
3132,73.07,71.09,30
3853,79.05,53.04,28
3877,79.05,55.02,38
3878,79.05,55.05,113
3879,79.05,55.06,33
3907,79.05,57.03,78
3908,79.05,57.07,92
3930,79.05,59.05,21
3946,79.05,61.03,18
3992,79.05,65.04,11
4018,79.05,67.05,187
4019,79.05,67.06,45
4028,79.05,68.05,9
4040,79.05,69.03,79
4041,79.05,69.07,186
4055,79.05,71.05,108
4057,79.05,71.09,59
4075,79.05,73.03,35
4133,79.06,55.06,21
4140,79.06,57.03,16
4141,79.06,57.07,26
4171,79.06,67.05,13
4172,79.06,67.06,34
4175,79.06,69.03,16
4176,79.06,69.07,39
4182,79.06,71.05,18
4184,79.06,71.09,20
4192,79.06,73.03,10
4400,80.05,68.05,9
4441,80.06,69.07,9
4633,81.03,53.04,25
4643,81.03,55.02,27
4644,81.03,55.05,29
4657,81.03,57.03,48
4659,81.03,57.07,24
4663,81.03,59.05,8
4669,81.03,61.03,33
4694,81.03,67.05,47
4695,81.03,67.06,9
4702,81.03,69.03,62
4703,81.03,69.07,44
4708,81.03,71.01,9
4709,81.03,71.05,45
4710,81.03,71.09,14
4721,81.03,73.03,48
4735,81.03,79.05,45
4809,81.07,53.04,37
4847,81.07,55.02,39
4848,81.07,55.05,118
4849,81.07,55.06,73
4887,81.07,57.03,102
4888,81.07,57.07,184
4920,81.07,59.05,26
4936,81.07,60.08,22
4943,81.07,61.03,38
4962,81.07,62.06,12
5010,81.07,65.04,14
5044,81.07,67.05,228
5045,81.07,67.06,101
5056,81.07,68.05,12
5069,81.07,69.03,106
5070,81.07,69.07,291
5081,81.07,70.07,8
5094,81.07,71.05,118
5095,81.07,71.07,14
5096,81.07,71.08,8
5097,81.07,71.09,137
5126,81.07,73.03,75
5128,81.07,73.07,17
5196,81.07,79.05,228
5197,81.07,79.06,42
5214,81.07,80.05,9
5215,81.07,80.06,9
5367,82.06,55.05,24
5376,82.06,57.03,23
5378,82.06,57.07,14
5381,82.06,58.07,11
5425,82.06,67.05,65
5430,82.06,68.05,17
5435,82.06,69.03,31
5436,82.06,69.07,26
5437,82.06,70.06,8
5440,82.06,71.05,33
5441,82.06,71.09,9
5450,82.06,73.03,9
5468,82.06,79.05,77
5473,82.06,80.05,8
5475,82.06,81.03,18
5484,82.07,57.07,10
5499,82.07,69.07,13
5511,82.07,79.05,8
5520,82.07,81.07,15
5667,83.05,53.04,24
5687,83.05,55.02,24
5688,83.05,55.05,63
5689,83.05,55.06,30
5710,83.05,57.03,51
5711,83.05,57.07,79
5727,83.05,59.05,25
5742,83.05,61.03,10
5772,83.05,65.04,8
5790,83.05,67.05,91
5791,83.05,67.06,31
5801,83.05,69.03,56
5802,83.05,69.07,110
5811,83.05,71.05,73
5812,83.05,71.09,39
5827,83.05,73.03,21
5852,83.05,79.05,102
5853,83.05,79.06,14
5865,83.05,81.03,28
5867,83.05,81.07,114
5879,83.07,55.05,9
5896,83.07,67.05,22
5897,83.07,68.05,8
5899,83.07,69.07,11
5902,83.07,71.05,10
5912,83.07,79.05,42
5917,83.07,81.07,21
5919,83.07,82.06,104
5931,83.08,55.05,20
5941,83.08,57.03,11
5942,83.08,57.07,18
5971,83.08,67.05,25
5978,83.08,69.03,8
5979,83.08,69.07,32
5983,83.08,71.05,12
5986,83.08,71.09,11
6002,83.08,79.05,22
6008,83.08,81.07,28
6052,83.09,53.04,28
6083,83.09,55.02,34
6084,83.09,55.05,98
6085,83.09,55.06,72
6112,83.09,57.03,82
6113,83.09,57.07,160
6141,83.09,59.05,18
6154,83.09,60.08,12
6160,83.09,61.03,29
6175,83.09,62.06,9
6233,83.09,67.05,145
6234,83.09,67.06,86
6252,83.09,69.03,70
6253,83.09,69.07,245
6271,83.09,71.05,89
6273,83.09,71.08,9
6274,83.09,71.09,139
6302,83.09,73.03,67
6304,83.09,73.07,30
6355,83.09,79.05,142
6356,83.09,79.06,37
6369,83.09,80.06,16
6383,83.09,81.03,38
6385,83.09,81.07,233
6395,83.09,82.06,12
