,parent,loss,count
49,55.02,1.980000000000004,16
64,55.05,2.009999999999998,23
90,55.06,2.020000000000003,10
215,57.03,1.9699999999999989,19
216,57.03,1.980000000000004,62
217,57.03,2.009999999999998,35
235,57.03,3.990000000000002,24
272,57.07,2.009999999999998,84
273,57.07,2.020000000000003,74
274,57.07,2.049999999999997,24
309,57.07,4.030000000000001,27
392,58.07,1.0,9
453,59.05,1.9799999999999969,28
454,59.05,2.019999999999996,11
463,59.05,3.989999999999995,11
464,59.05,4.0,13
567,60.08,3.009999999999998,20
571,60.08,5.030000000000001,8
633,61.03,3.960000000000001,19
635,61.03,4.0,42
641,61.03,5.980000000000004,12
642,61.03,6.009999999999998,11
742,62.06,4.990000000000002,9
745,62.06,7.010000000000005,10
986,65.04,7.970000000000006,10
1165,67.05,2.009999999999991,9
1199,67.05,4.989999999999995,11
1210,67.05,6.019999999999996,28
1218,67.05,6.969999999999999,11
1226,67.05,8.0,16
1248,67.05,9.979999999999997,102
1249,67.05,10.019999999999996,86
1275,67.05,11.989999999999995,15
1276,67.05,12.0,125
1277,67.05,12.029999999999994,38
1303,67.05,14.009999999999998,30
1367,67.06,6.030000000000001,13
1391,67.06,9.990000000000002,72
1392,67.06,10.030000000000001,24
1404,67.06,12.0,64
1406,67.06,12.04,8
1424,67.06,14.020000000000003,9
1494,68.05,1.0,10
1610,69.03,1.9699999999999989,26
1611,69.03,1.980000000000004,82
1658,69.03,8.0,47
1670,69.03,9.980000000000004,17
1683,69.03,11.96,49
1685,69.03,12.0,73
1704,69.03,13.969999999999999,15
1705,69.03,13.980000000000004,50
1706,69.03,14.009999999999998,35
1725,69.03,15.990000000000002,27
1742,69.07,1.019999999999996,8
1752,69.07,2.009999999999991,94
1753,69.07,2.019999999999996,191
1782,69.07,4.029999999999987,12
1826,69.07,7.009999999999991,10
1844,69.07,8.039999999999992,32
1851,69.07,8.989999999999995,18
1866,69.07,10.019999999999996,24
1898,69.07,11.999999999999993,182
1899,69.07,12.039999999999992,93
1934,69.07,14.009999999999991,76
1935,69.07,14.019999999999996,115
1936,69.07,14.04999999999999,36
1967,69.07,16.029999999999994,36
2249,71.01,1.980000000000004,10
2255,71.01,9.980000000000004,8
2260,71.01,13.980000000000004,10
2272,71.05,1.980000000000004,106
2273,71.05,2.019999999999996,81
2286,71.05,3.989999999999995,32
2287,71.05,4.0,103
2341,71.05,10.019999999999996,25
2349,71.05,12.0,15
2364,71.05,13.979999999999997,64
2365,71.05,14.019999999999996,73
2382,71.05,15.989999999999995,23
2383,71.05,16.0,69
2384,71.05,16.029999999999994,37
2401,71.05,18.009999999999998,27
2416,71.07,2.0,11
2421,71.07,10.989999999999995,33
2428,71.07,13.999999999999993,12
2434,71.08,2.010000000000005,9
2443,71.08,14.009999999999998,15
2462,71.09,2.0200000000000102,146
2463,71.09,2.0600000000000023,31
2478,71.09,4.030000000000001,58
2479,71.09,4.040000000000006,66
2536,71.09,10.060000000000002,15
2538,71.09,11.010000000000005,15
2548,71.09,12.040000000000006,11
2555,71.09,13.020000000000003,10
2569,71.09,14.020000000000003,167
2570,71.09,14.060000000000002,42
2591,71.09,16.03,53
2592,71.09,16.040000000000006,32
2593,71.09,16.07,14
2613,71.09,18.050000000000004,12
2845,72.08,14.009999999999998,9
2992,73.03,1.9399999999999977,46
2994,73.03,1.980000000000004,41
2995,73.03,2.019999999999996,8
3001,73.03,3.960000000000008,71
3002,73.03,4.0,71
3008,73.03,5.969999999999999,16
3009,73.03,5.980000000000004,53
3031,73.03,12.0,57
3041,73.03,15.96,31
3043,73.03,16.0,51
3051,73.03,17.980000000000004,26
3052,73.03,18.009999999999998,23
3060,73.03,19.990000000000002,13
3070,73.06,1.9699999999999989,11
3087,73.06,15.990000000000002,9
3101,73.07,1.9799999999999898,30
3104,73.07,4.0,26
3108,73.07,6.009999999999991,8
3122,73.07,15.999999999999993,23
3124,73.07,18.00999999999999,13
3859,79.05,6.019999999999996,35
3877,79.05,7.959999999999994,59
3879,79.05,8.0,108
3893,79.05,9.980000000000004,186
3894,79.05,10.019999999999996,79
3906,79.05,11.0,9
3915,79.05,11.989999999999995,45
3916,79.05,12.0,187
3942,79.05,14.009999999999991,11
3988,79.05,18.019999999999996,18
4004,79.05,20.0,21
4026,79.05,21.979999999999997,92
4027,79.05,22.019999999999996,78
4055,79.05,23.989999999999995,33
4056,79.05,24.0,113
4057,79.05,24.029999999999994,38
4081,79.05,26.009999999999998,28
4129,79.06,6.030000000000001,10
4137,79.06,7.969999999999999,20
4139,79.06,8.010000000000005,18
4145,79.06,9.990000000000009,39
4146,79.06,10.030000000000001,16
4149,79.06,12.0,34
4150,79.06,12.010000000000005,13
4180,79.06,21.990000000000002,26
4181,79.06,22.03,16
4188,79.06,24.0,21
4402,80.05,12.0,9
4427,80.06,10.990000000000009,9
4632,81.03,1.980000000000004,45
4646,81.03,8.0,48
4657,81.03,9.939999999999998,14
4658,81.03,9.980000000000004,45
4659,81.03,10.019999999999996,9
4664,81.03,11.960000000000008,44
4665,81.03,12.0,62
4672,81.03,13.969999999999999,9
4673,81.03,13.980000000000004,47
4698,81.03,20.0,33
4704,81.03,21.980000000000004,8
4708,81.03,23.96,24
4710,81.03,24.0,48
4723,81.03,25.980000000000004,29
4724,81.03,26.009999999999998,27
4734,81.03,27.990000000000002,25
4763,81.07,1.009999999999991,9
4764,81.07,1.019999999999996,9
4781,81.07,2.009999999999991,42
4782,81.07,2.019999999999996,228
4850,81.07,8.0,17
4852,81.07,8.039999999999992,75
4881,81.07,9.97999999999999,137
4882,81.07,9.989999999999995,8
4883,81.07,10.0,14
4884,81.07,10.019999999999996,118
4897,81.07,11.0,8
4908,81.07,12.0,291
4909,81.07,12.039999999999992,106
4922,81.07,13.019999999999996,12
4933,81.07,14.009999999999991,101
4934,81.07,14.019999999999996,228
4968,81.07,16.029999999999987,14
5016,81.07,19.00999999999999,12
5035,81.07,20.039999999999992,38
5042,81.07,20.989999999999995,22
5058,81.07,22.019999999999996,26
5090,81.07,23.999999999999993,184
5091,81.07,24.039999999999992,102
5129,81.07,26.00999999999999,73
5130,81.07,26.019999999999996,118
5131,81.07,26.04999999999999,39
5169,81.07,28.029999999999994,37
5350,82.06,1.0300000000000011,18
5352,82.06,2.010000000000005,8
5357,82.06,3.010000000000005,77
5375,82.06,9.030000000000001,9
5384,82.06,10.969999999999999,9
5385,82.06,11.010000000000005,33
